candidate,family,description,behavior,n,ann_ret,sharpe,t_ret,lambda_ann_fmb,t_fmb,lambda_ann_gx_obs,t_gx_obs,lambda_ann_gx_full,t_gx_full,k_hidden,max_abs_corr_to_09,nearest_09_factor,passes_t2,passes_t165
corr_mkt_12w__low_minus_high,corr,"corr_mkt_12w, low minus high",low market crowding/herding,251,0.0339251366416811,0.09916642275183302,0.23188766390989352,-0.3075933589391029,-0.5769558240718698,0.2639153484300548,1.3102789760230706,0.3188991298636564,1.2337211544302822,2,0.16142577182096637,RMOM4w,False,False
price_to_high_4w__high_minus_low,price,"price_to_high_4w, high minus low",distance from recent high; anchoring to prior peak,263,0.32044753643298657,0.8164294984610143,1.7582271899262691,0.4619538402217038,0.8744464169757153,0.031972698271164085,0.10710488988009209,-0.4726666626793124,-1.1930229329409132,2,0.5483478360295582,MomC,False,False
price_to_high_4w__low_minus_high,price,"price_to_high_4w, low minus high",distance from recent high; anchoring to prior peak,263,-0.32044753643298657,-0.8164294984610143,-1.7582271899262691,-0.4619538402217038,-0.8744464169757153,-0.031972698271164085,-0.10710488988009209,0.4726666626793124,1.1930229329409132,2,0.5483478360295582,MomC,False,False
mcap_chg_3w__high_minus_low,mcap,"mcap_chg_3w, high minus low",underreaction or reversal to recent performance,263,0.3037606828250249,0.7469317602876266,1.5300403198030927,0.8513506875951256,1.7408733059529595,0.4503817770025723,1.5544657999668603,0.43215635846809536,1.1732377158082836,2,0.7743716319408066,MomC,False,False
mcap_chg_3w__low_minus_high,mcap,"mcap_chg_3w, low minus high",underreaction or reversal to recent performance,263,-0.3037606828250249,-0.7469317602876266,-1.5300403198030927,-0.8513506875951256,-1.7408733059529595,-0.4503817770025723,-1.5544657999668603,-0.43215635846809536,-1.1732377158082836,2,0.7743716319408066,MomC,False,False
corr_mkt_26w__high_minus_low,corr,"corr_mkt_26w, high minus low",high market crowding/herding,237,0.10366660045258706,0.3093528499322352,0.6335610030360432,-0.2571198812395149,-0.6459690830936713,-0.04518253023423605,-0.1852282587355067,0.2695364966778262,1.1321615974830894,2,0.1825135035766874,MAXRET,False,False
corr_mkt_26w__low_minus_high,corr,"corr_mkt_26w, low minus high",low market crowding/herding,237,-0.10366660045258706,-0.3093528499322352,-0.6335610030360432,0.2571198812395149,0.6459690830936713,0.04518253023423605,0.1852282587355067,-0.2695364966778262,-1.1321615974830894,2,0.1825135035766874,MAXRET,False,False
ret_8w__low_minus_high,ret,"ret_8w, low minus high",underreaction or reversal to recent performance,263,0.04982226195233893,0.12620652253418335,0.3019642534527443,-0.6614342504853953,-1.1641635935916497,0.3665993553898877,0.9513751473495393,0.4314601226050406,1.0321880438738167,2,0.6308939984473227,NetRel,False,False
ret_8w__high_minus_low,ret,"ret_8w, high minus low",underreaction or reversal to recent performance,263,-0.04982226195233893,-0.12620652253418335,-0.3019642534527443,0.6614342504853953,1.1641635935916497,-0.3665993553898877,-0.9513751473495393,-0.4314601226050406,-1.0321880438738167,2,0.6308939984473227,NetRel,False,False
upfreq_2w__low_minus_high,upfreq,"upfreq_2w, low minus high",trend consistency and representativeness,263,-0.3624854347380528,-1.1462403775166097,-2.385671892296421,0.09131308350708842,0.17334899744861687,0.1296330478993385,0.5321439070725794,0.24247147049615012,0.906294020152891,2,0.4581306449314823,RMOM2w,False,False
upfreq_2w__high_minus_low,upfreq,"upfreq_2w, high minus low",trend consistency and representativeness,263,0.3624854347380528,1.1462403775166097,2.385671892296421,-0.09131308350708842,-0.17334899744861687,-0.1296330478993385,-0.5321439070725794,-0.24247147049615012,-0.906294020152891,2,0.4581306449314823,RMOM2w,False,False
upfreq_4w__low_minus_high,upfreq,"upfreq_4w, low minus high",trend consistency and representativeness,263,-0.1802059923173995,-0.5616800284544682,-1.1205211002096818,0.12108764041794304,0.3429702960292172,0.23230321368495002,1.0533929516261342,0.23179721737356018,0.9030265693280037,2,0.5745163739476193,RMOM4w,False,False
upfreq_4w__high_minus_low,upfreq,"upfreq_4w, high minus low",trend consistency and representativeness,263,0.1802059923173995,0.5616800284544682,1.1205211002096818,-0.12108764041794304,-0.3429702960292172,-0.23230321368495002,-1.0533929516261342,-0.23179721737356018,-0.9030265693280037,2,0.5745163739476193,RMOM4w,False,False
mcap_chg_8w__low_minus_high,mcap,"mcap_chg_8w, low minus high",underreaction or reversal to recent performance,263,0.05404649768295291,0.13937997963474805,0.31739167976519167,-0.6491358014741635,-1.1911622281491234,0.2236942042054121,0.5973629920950259,0.33416930215874535,0.8243205190474224,2,0.6120591661255932,NetRel,False,False
mcap_chg_8w__high_minus_low,mcap,"mcap_chg_8w, high minus low",underreaction or reversal to recent performance,263,-0.05404649768295291,-0.13937997963474805,-0.31739167976519167,0.6491358014741635,1.1911622281491234,-0.2236942042054121,-0.5973629920950259,-0.33416930215874535,-0.8243205190474224,2,0.6120591661255932,NetRel,False,False
ret_1w__high_minus_low,ret,"ret_1w, high minus low",underreaction or reversal to recent performance,263,0.4447027530105096,1.1103057928829474,2.0524646573564853,1.868821490313563,2.7658594724170227,0.4395369696006647,2.1372186624913283,-0.19288061675748067,-0.7215727923323837,2,0.665392668392153,RMOM1w,False,False
ret_1w__low_minus_high,ret,"ret_1w, low minus high",underreaction or reversal to recent performance,263,-0.4447027530105096,-1.1103057928829474,-2.0524646573564853,-1.868821490313563,-2.7658594724170227,-0.4395369696006647,-2.1372186624913283,0.19288061675748067,0.7215727923323837,2,0.665392668392153,RMOM1w,False,False
maxret_1w__low_minus_high,maxret,"maxret_1w, low minus high",low maximum-return lottery salience,263,-0.4447027530105096,-1.1103057928829474,-2.0524646573564853,-1.868821490313563,-2.7658594724170227,-0.4395369696006647,-2.1372186624913283,0.19288061675748067,0.7215727923323837,2,0.665392668392153,RMOM1w,False,False
maxret_1w__high_minus_low,maxret,"maxret_1w, high minus low",high maximum-return lottery salience,263,0.4447027530105096,1.1103057928829474,2.0524646573564853,1.868821490313563,2.7658594724170227,0.4395369696006647,2.1372186624913283,-0.19288061675748067,-0.7215727923323837,2,0.665392668392153,RMOM1w,False,False
minret_1w__high_minus_low,minret,"minret_1w, high minus low",crash resilience,263,0.4447027530105096,1.1103057928829474,2.0524646573564853,1.868821490313563,2.7658594724170227,0.4395369696006647,2.1372186624913283,-0.19288061675748067,-0.7215727923323837,2,0.665392668392153,RMOM1w,False,False
minret_1w__low_minus_high,minret,"minret_1w, low minus high",capitulation/crash rebound,263,-0.4447027530105096,-1.1103057928829474,-2.0524646573564853,-1.868821490313563,-2.7658594724170227,-0.4395369696006647,-2.1372186624913283,0.19288061675748067,0.7215727923323837,2,0.665392668392153,RMOM1w,False,False
upfreq_1w__high_minus_low,upfreq,"upfreq_1w, high minus low",trend consistency and representativeness,263,0.3513130856524362,1.0664500788159457,2.3334969441757925,0.24904540239138223,0.4379489378257029,-0.06390244537759146,-0.31769171580742167,-0.11986529026709243,-0.6507992934318569,2,0.3702294135130252,RMOM1w,False,False
