week,symbol,cluster_id,w_fast,w_slow,w
2018-10-22,BNB,,0.0,-0.05,-0.012
2018-10-22,BTC,,0.05,-0.05,0.015999999999999997
2018-10-22,ETC,,0.0,-0.05,-0.012
2018-10-22,ETH,,0.0,0.05,0.012
2018-10-22,LTC,,0.05,0.0,0.027999999999999997
2018-10-22,TRX,,-0.05,0.0,-0.027999999999999997
2018-10-22,VET,,0.05,0.0,0.027999999999999997
2018-10-22,XLM,,-0.05,0.0,-0.027999999999999997
2018-10-22,XRP,,-0.05,0.05,-0.015999999999999997
2018-10-29,ADA,,-0.05,0.05,-0.015999999999999997
2018-10-29,BNB,,0.05,-0.05,0.015999999999999997
2018-10-29,BTC,,0.05,-0.05,0.015999999999999997
2018-10-29,ETC,,0.0,-0.05,-0.012
2018-10-29,ETH,,0.0,0.05,0.012
2018-10-29,LTC,,0.0,0.0,0.0
2018-10-29,TRX,,0.0,0.0,0.0
2018-10-29,VET,,0.05,0.0,0.027999999999999997
2018-10-29,XLM,,-0.05,0.0,-0.027999999999999997
2018-10-29,XRP,,-0.05,0.05,-0.015999999999999997
2018-11-05,ADA,,-0.05,0.05,-0.015999999999999997
2018-11-05,BNB,,0.0,-0.05,-0.012
2018-11-05,BTC,,0.05,-0.05,0.015999999999999997
2018-11-05,ETC,,0.05,-0.05,0.015999999999999997
2018-11-05,ETH,,0.0,0.05,0.012
2018-11-05,LTC,,0.0,0.0,0.0
2018-11-05,TRX,,0.0,0.0,0.0
2018-11-05,VET,,0.05,0.0,0.027999999999999997
2018-11-05,XLM,,-0.05,0.0,-0.027999999999999997
2018-11-05,XRP,,-0.05,0.05,-0.015999999999999997
2018-11-12,ADA,,-0.05,0.05,-0.015999999999999997
2018-11-12,BNB,,0.0,-0.05,-0.012
2018-11-12,BTC,,0.05,-0.05,0.015999999999999997
2018-11-12,ETC,,0.05,0.0,0.027999999999999997
2018-11-12,ETH,,0.0,-0.05,-0.012
2018-11-12,LTC,,-0.05,0.0,-0.027999999999999997
2018-11-12,TRX,,0.05,0.0,0.027999999999999997
2018-11-12,VET,,0.0,0.05,0.012
2018-11-12,XLM,,-0.05,0.0,-0.027999999999999997
2018-11-12,XRP,,0.0,0.05,0.012
2018-11-19,ADA,,-0.05,0.05,-0.015999999999999997
2018-11-19,BNB,,0.0,-0.05,-0.012
2018-11-19,BTC,,0.05,-0.05,0.015999999999999997
2018-11-19,ETC,,0.0,0.0,0.0
2018-11-19,ETH,,0.0,-0.05,-0.012
2018-11-19,LTC,,0.05,0.0,0.027999999999999997
2018-11-19,TRX,,0.0,0.0,0.0
2018-11-19,VET,,-0.05,0.05,-0.015999999999999997
2018-11-19,XLM,,-0.05,0.0,-0.027999999999999997
2018-11-19,XRP,,0.05,0.05,0.04
2018-11-26,ADA,,-0.05,0.05,-0.015999999494940666
2018-11-26,BNB,,0.0,-0.05,-0.011999999621205501
2018-11-26,BTC,,0.05,-0.05,0.015999999494940666
2018-11-26,ETC,,0.0,0.0,0.0
2018-11-26,ETH,,0.05,-0.05,0.015999999494940666
2018-11-26,LTC,,0.05,0.0,0.027999999116146167
2018-11-26,TRX,,-0.05,0.0,-0.027999999116146167
2018-11-26,VET,,0.0,0.05,0.011999999621205501
2018-11-26,XLM,,-0.05,0.0,-0.027999999116146167
2018-11-26,XRP,,0.0,0.05,0.011999999621205501
