week,factor,ic
2019-02-18,CRASH8,-0.006060606060606061
2019-02-18,BETA26,-0.5515151515151515
2019-02-18,NEWC,-0.09132515299544462
2019-02-18,SKEW52,0.32121212121212117
2019-02-18,TVLC,
2019-02-25,VOLC,-0.6181818181818182
2019-02-25,MAXRET,-0.7636363636363637
2019-02-25,CRASH8,-0.24545454545454545
2019-02-25,BETA26,-0.18787878787878787
2019-02-25,NEWC,-0.03653006119817785
2019-02-25,SKEW52,0.22424242424242422
2019-02-25,TVLC,
2019-03-04,VOLC,0.045454545454545456
2019-03-04,MAXRET,-0.29090909090909095
2019-03-04,CRASH8,0.05454545454545456
2019-03-04,BETA26,-0.12727272727272726
2019-03-04,NEWC,-0.3052650370327892
2019-03-04,SKEW52,0.10303030303030303
2019-03-04,TVLC,
2019-03-11,VOLC,0.16363636363636366
2019-03-11,MAXRET,0.10909090909090911
2019-03-11,CRASH8,-0.13636363636363638
2019-03-11,BETA26,-0.17575757575757575
2019-03-11,NEWC,-0.2912298629163391
2019-03-11,SKEW52,-0.04242424242424241
2019-03-11,TVLC,
2019-03-18,VOLC,-0.4909090909090909
2019-03-18,MAXRET,-0.41818181818181827
2019-03-18,CRASH8,0.17272727272727276
2019-03-18,BETA26,0.4424242424242424
2019-03-18,NEWC,-0.18947485057207603
2019-03-18,SKEW52,-0.13939393939393938
2019-03-18,TVLC,
2019-03-25,VOLC,0.41958041958041964
2019-03-25,MAXRET,-0.1398601398601399
2019-03-25,CRASH8,-0.02727272727272728
2019-03-25,BETA26,0.28484848484848485
2019-03-25,NEWC,-0.11845774976654036
2019-03-25,SKEW52,0.35757575757575755
2019-03-25,TVLC,
2019-04-01,VOLC,0.32867132867132864
2019-04-01,MAXRET,0.23076923076923078
2019-04-01,CRASH8,-0.4090909090909091
2019-04-01,BETA26,-0.1515151515151515
2019-04-01,NEWC,-0.45594824261288697
2019-04-01,SKEW52,0.5636363636363636
2019-04-01,TVLC,
2019-04-08,VOLC,0.8321678321678322
2019-04-08,MAXRET,0.6853146853146854
2019-04-08,CRASH8,-0.2447552447552448
2019-04-08,BETA26,-0.7454545454545454
2019-04-08,NEWC,-0.04405297030076202
2019-04-08,SKEW52,0.5636363636363636
2019-04-08,TVLC,
2019-04-15,VOLC,0.15934065934065936
2019-04-15,MAXRET,-0.3681318681318681
2019-04-15,CRASH8,-0.5174825174825175
