week,p_RiskOn,p_Neutral,p_RiskOff,label,gross
2019-03-11,0.9019574306552836,9.19291907632899e-12,0.09804256933551349,RiskOn,0.9607829722639459
2019-03-18,0.05883313592061539,0.9411666819513947,1.8212799633395117e-07,Neutral,0.811766590758529
2019-03-25,0.9981815215384745,0.0008795811799869665,0.0009388972815461252,RiskOn,0.9994485248513917
2019-04-01,0.05694856495575255,0.9430477991724888,3.6358717564361206e-06,Neutral,0.8113889858167975
2019-04-08,0.9999998611740278,1.0860672306568871e-24,1.3882596026422784e-07,RiskOn,0.9999999444696039
2019-04-15,6.811749229186267e-05,0.9963028009406225,0.0036290815670835426,Neutral,0.79928780718504
2019-04-22,2.2910918206604015e-05,0.9999770883765401,7.052461619880977e-10,Neutral,0.8000045820425865
2019-04-29,1.5082502926766617e-06,0.9998224210187306,0.0001760707309628832,Neutral,0.7999650875038549
2019-05-06,1.4106257645637174e-07,0.8004610166082046,0.19953884232922595,Neutral,0.7600922597466757
2019-05-13,3.6484205528987405e-23,1.0,6.2662020374350555e-24,Neutral,0.8
2019-05-20,2.0444475384126065e-23,1.0,1.982555151301388e-33,Neutral,0.8
2019-05-27,3.0048374941266497e-24,1.0,2.556258201009518e-30,Neutral,0.8
2019-06-03,2.2643190948746047e-23,1.0,7.328076588862019e-34,Neutral,0.8
2019-06-10,0.9979146940512054,0.0020853059487873716,2.0359491841779783e-52,RiskOn,0.9995829388102353
2019-06-17,0.9999999999845954,2.0338889688877376e-12,1.3374777949140396e-11,RiskOn,0.9999999999942475
2019-06-24,0.9988535794586388,0.0011464205413486697,6.338295709496822e-33,RiskOn,0.9997707158917177
2019-07-01,1.0,2.0540609932210476e-61,2.7485426553752724e-15,RiskOn,1.0000000000000016
2019-07-08,0.987331584825759,0.01266841517423755,1.2312634295163525e-16,RiskOn,0.9974663169651492
2019-07-15,0.3289602928495185,0.6710396933441336,1.3806340603649902e-08,Neutral,0.8657920558086296
2019-07-22,0.12697545114849715,0.8730245488268071,2.4690428346086658e-11,Neutral,0.8253950902247572
2019-07-29,0.00045816613833743377,0.32715056943496407,0.672391264426694,RiskOff,0.665613380342325
2019-08-05,0.00041625225443225525,0.05556433476973315,0.9440194129758244,RiskOff,0.6112793678557134
2019-08-12,0.002167511331666911,0.06101319568792398,0.9368192929804254,RiskOff,0.6130696436702613
2019-08-19,0.0008118621848516627,0.10496387037251492,0.8942242674426507,RiskOff,0.6213175189484541
2019-08-26,0.0010426837184435726,0.00025186036690185223,0.9987054559146779,RiskOff,0.6004674455607717
2019-09-02,8.630454165810906e-05,0.01621472645203881,0.9836989690063057,RiskOff,0.6032774671070725
2019-09-09,0.001131017959189808,0.09011624142646615,0.9087527406143616,RiskOff,0.6184756554689796
2019-09-16,0.00828042006821122,0.0001260283198596026,0.991593551611919,RiskOff,0.6033373736912503
2019-09-23,0.9969855177120712,0.003014428883296052,5.3404604678854404e-08,RiskOn,0.9993970928614708
2019-09-30,0.07094305112304851,0.929056948876961,1.0064748396291875e-22,Neutral,0.8141886102246174
2019-10-07,0.008400659684162844,0.9915993403158473,4.7895009562129204e-36,Neutral,0.8016801319368407
2019-10-14,0.00033099714961685756,0.9996690028503881,4.439995332619368e-41,Neutral,0.8000661994299273
2019-10-21,1.0,4.62058220019017e-62,7.86302056630295e-35,RiskOn,1.0
2019-10-28,0.9643401142712941,0.03565988572869063,7.512151714582498e-46,RiskOn,0.9928680228542466
2019-11-04,0.9999999999798206,1.5568481123391675e-11,4.6058221193319875e-12,RiskOn,0.9999999999950389
2019-11-11,0.9999979624251705,2.0375748476849825e-06,2.3118982419407454e-20,RiskOn,0.9999995924850487
2019-11-18,0.9962286897082592,0.003771310291696422,1.8241078566930955e-14,RiskOn,0.9992457379416273
2019-11-25,0.6180515782725151,0.37368558119607687,0.008262840531415168,RiskOn,0.9219577475482257
2019-12-02,0.999978198306051,2.3983576310204454e-07,2.1561858205441027e-05,RiskOn,0.9999913272895846
2019-12-09,0.18175919862858272,0.768359062049126,0.049881739322303664,Neutral,0.8263754918612657
2019-12-16,0.014004766867373153,0.7204542016170421,0.26554103151559744,Neutral,0.7496927470703654
2019-12-23,0.43770451870237703,0.37358887898631016,0.18870660231131411,RiskOn,0.8497995832782137
2019-12-30,0.018659659582558757,0.21765219836790264,0.7636881420495345,RiskOff,0.6509943035066016
2020-01-06,0.004541300332845706,0.22704707381063513,0.7684116258565349,RiskOff,0.6472259348952747
2020-01-13,0.14317427055049986,0.23103521164982907,0.6257905177996441,RiskOff,0.7034767505501496
2020-01-20,1.0,3.685847863664578e-19,3.020078125468015e-19,RiskOn,1.0
2020-01-27,0.9996158035750459,0.00038419642495764465,7.88068172424413e-34,RiskOn,0.999923160715012
2020-02-03,0.9950711421518371,0.0049288578481840135,1.963984288510119e-22,RiskOn,0.9990142284303843
2020-02-10,1.0,5.06988060831063e-22,2.1208629052645476e-37,RiskOn,1.0
2020-02-17,1.0,1.1525049937525643e-106,4.5439976354767883e-63,RiskOn,1.0
2020-02-24,0.9960866620309942,0.003913337968999977,3.7415936245332496e-36,RiskOn,0.9992173324061941
2020-03-02,0.5941549296369517,0.40584507035978623,3.257949382491634e-12,RiskOn,0.9188309859267355
2020-03-09,0.9444424856663333,0.030472840988892767,0.025084673344767962,RiskOn,0.9838715624643083
2020-03-16,0.00019991876660492832,0.9995299267056533,0.00027015452773234317,Neutral,0.7999859528477671
2020-03-23,4.836484672289775e-05,0.9955550352546881,0.004396599898607455,Neutral,0.799130352989638
2020-03-30,0.0006807858254550128,0.9009586039729872,0.09836061020157005,Neutral,0.7804640351247869
2020-04-06,0.004694263697523008,0.7145570125377383,0.28074872376476645,Neutral,0.7447891079865735
2020-04-13,0.977310730776917,0.007712414093274974,0.014976855129806163,RiskOn,0.9924667751294206
