week,symbol,cluster_id,signal,side,w
2020-11-09,AAVE,,-0.9902666741821451,-1,-0.008039341006156138
2020-11-09,ADA,,-0.10346619655596902,0,0.0
2020-11-09,ALGO,,0.22880876888173424,1,0.03519532243967835
2020-11-09,ATOM,,0.17720660972955948,1,0.03647519236882573
2020-11-09,AVAX,,0.32770800081370877,1,0.04105790181817202
2020-11-09,BCH,,-0.12573429375933656,-1,-0.04097322431580494
2020-11-09,BNB,,-0.1717266109528656,-1,-0.056759419263638006
2020-11-09,BTC,,-0.23965231252849867,-1,-0.056759419263638006
2020-11-09,CHZ,,0.12381323667700134,0,0.0
2020-11-09,DASH,,0.12540862815551684,0,0.0
2020-11-09,DOGE,,0.1895469388387498,1,0.05024585837620784
2020-11-09,DOT,,0.15351450370301534,0,0.0
2020-11-09,ETC,,-0.11310055882157659,-1,-0.056759419263638006
2020-11-09,ETH,,-0.2945488724403672,-1,-0.04246879263792071
2020-11-09,FET,,0.1607593730149477,0,0.0
2020-11-09,FIL,,-0.2524957614353922,-1,-0.020923399476373505
2020-11-09,HBAR,,0.3328463493409497,1,0.043320544316463
2020-11-09,JST,,0.24688101561649833,1,0.018347308952393927
2020-11-09,LINK,,0.13581325980976927,0,0.0
2020-11-09,LTC,,-0.35973289659387087,-1,-0.026962423739896994
2020-11-09,NEAR,,-0.2910728877820664,-1,-0.015354561032933789
2020-11-09,SOL,,-0.024310508997294974,0,0.0
2020-11-09,STX,,0.3400744585774632,1,0.01470469901806039
2020-11-09,TRX,,-0.1072889249161129,0,0.0
2020-11-09,UNI,,0.15080772417666383,0,0.0
2020-11-09,VET,,0.1693616533973566,1,0.035407314333990976
2020-11-09,XLM,,-0.04880867187408805,0,0.0
2020-11-09,XRP,,0.05564883871234748,0,0.0
2020-11-09,ZEC,,0.20400581139430404,1,0.05024585837620784
2020-11-16,AAVE,,-1.010962958259873,-1,-0.017486182173167445
2020-11-16,ADA,,-0.4226266640712307,-1,-0.02830431809778312
2020-11-16,ALGO,,0.2577889987489639,1,0.028885390126137177
2020-11-16,ATOM,,0.2735850201069355,1,0.04295090664257026
2020-11-16,AVAX,,0.43932214966338395,1,0.04019095738307142
2020-11-16,BCH,,0.026603838679951787,0,0.0
2020-11-16,BNB,,0.04146400150411067,0,0.0
