week,factor,ic
2019-09-30,CRASH8,0.1936274509803922
2019-09-30,BETA26,0.24019607843137256
2019-09-30,TVLC,
2019-09-30,SKEW52,-0.006593406593406593
2019-09-30,NEWC,0.02985075777342829
2019-09-30,RMOM1w,0.3415892672858617
2019-09-30,RMOM2w,0.2961816305469556
2019-09-30,SMBC,0.06315789473684211
2019-09-30,NetRel,
2019-09-30,MomC,-0.1001031991744066
2019-09-30,NetMom,
2019-09-30,FunC,
2019-10-07,VolC,0.22187822497420018
2019-10-07,MAXRET,-0.06707946336429307
2019-10-07,CRASH8,-0.5857843137254902
2019-10-07,BETA26,-0.3382352941176471
2019-10-07,TVLC,
2019-10-07,SKEW52,-0.3274725274725274
2019-10-07,NEWC,0.14661989847536835
2019-10-07,RMOM1w,0.07946336429308565
2019-10-07,RMOM2w,0.26109391124871
2019-10-07,SMBC,-0.0824561403508772
2019-10-07,NetRel,
2019-10-07,MomC,0.2776057791537668
2019-10-07,NetMom,
2019-10-07,FunC,
2019-10-14,VolC,-0.03199174406604747
2019-10-14,MAXRET,0.0629514963880289
2019-10-14,CRASH8,-0.038183694530443756
2019-10-14,BETA26,-0.16666666666666669
2019-10-14,TVLC,
2019-10-14,SKEW52,-0.3142857142857143
2019-10-14,NEWC,-0.4960493571172642
2019-10-14,RMOM1w,-0.23426212590299278
2019-10-14,RMOM2w,-0.29411764705882354
2019-10-14,SMBC,-0.21052631578947367
2019-10-14,NetRel,
2019-10-14,MomC,0.007017543859649123
2019-10-14,NetMom,
2019-10-14,FunC,
2019-10-21,VolC,-0.5403508771929825
2019-10-21,MAXRET,-0.3508771929824562
2019-10-21,CRASH8,0.3931888544891641
2019-10-21,BETA26,0.6348039215686275
2019-10-21,TVLC,
2019-10-21,SKEW52,0.15604395604395604
2019-10-21,NEWC,0.5548729092001965
2019-10-21,RMOM1w,-0.29473684210526313
2019-10-21,RMOM2w,-0.14736842105263157
2019-10-21,SMBC,0.3649122807017544
2019-10-21,NetRel,
2019-10-21,MomC,0.07192982456140351
2019-10-21,NetMom,
2019-10-21,FunC,
2019-10-28,VolC,0.39122807017543854
2019-10-28,MAXRET,0.2982456140350877
2019-10-28,CRASH8,-0.20123839009287925
2019-10-28,BETA26,-0.16176470588235298
2019-10-28,TVLC,
2019-10-28,SKEW52,-0.15
2019-10-28,NEWC,-0.27389022049942763
2019-10-28,RMOM1w,0.11403508771929824
2019-10-28,RMOM2w,0.2421052631578947
2019-10-28,SMBC,-0.12781954887218044
2019-10-28,NetRel,
2019-10-28,MomC,0.0824561403508772
2019-10-28,NetMom,
2019-10-28,FunC,
2019-11-04,VolC,-0.06842105263157894
2019-11-04,MAXRET,0.012280701754385965
2019-11-04,CRASH8,0.20175438596491227
2019-11-04,BETA26,0.08578431372549021
2019-11-04,TVLC,
2019-11-04,SKEW52,0.11428571428571425
2019-11-04,NEWC,-0.08051168569626033
2019-11-04,RMOM1w,-0.03859649122807017
2019-11-04,RMOM2w,-0.10526315789473684
2019-11-04,SMBC,0.15488721804511277
2019-11-04,NetRel,
2019-11-04,MomC,-0.0035087719298245615
2019-11-04,NetMom,
2019-11-04,FunC,
2019-11-11,VolC,0.22280701754385965
2019-11-11,MAXRET,0.2210526315789474
2019-11-11,CRASH8,-0.01754385964912281
2019-11-11,BETA26,-0.17401960784313728
2019-11-11,TVLC,
2019-11-11,SKEW52,-0.05714285714285713
2019-11-11,NEWC,-0.11738152307118328
2019-11-11,RMOM1w,-0.23508771929824557
2019-11-11,RMOM2w,-0.04736842105263158
2019-11-11,SMBC,-0.03909774436090225
2019-11-11,NetRel,
2019-11-11,MomC,-0.13984962406015036
2019-11-11,NetMom,
2019-11-11,FunC,
2019-11-18,VolC,-0.3037593984962406
2019-11-18,MAXRET,-0.3488721804511278
2019-11-18,CRASH8,0.2631578947368421
2019-11-18,BETA26,0.4730392156862746
2019-11-18,TVLC,
2019-11-18,SKEW52,-0.21428571428571427
2019-11-18,NEWC,-0.18209184989247665
2019-11-18,RMOM1w,0.3142857142857143
2019-11-18,RMOM2w,0.4812030075187969
2019-11-18,SMBC,-0.02857142857142857
2019-11-18,NetRel,
2019-11-18,MomC,0.38195488721804516
2019-11-18,NetMom,
2019-11-18,FunC,
2019-11-25,VolC,-0.15789473684210525
2019-11-25,MAXRET,-0.22105263157894736
2019-11-25,CRASH8,-0.1087719298245614
2019-11-25,BETA26,0.2034313725490196
2019-11-25,TVLC,
2019-11-25,SKEW52,-0.2821428571428571
2019-11-25,NEWC,-0.038374728696348386
2019-11-25,RMOM1w,0.4481203007518797
2019-11-25,RMOM2w,0.2646616541353383
2019-11-25,SMBC,-0.13984962406015036
2019-11-25,NetRel,
2019-11-25,MomC,0.25864661654135335
2019-11-25,NetMom,
2019-11-25,FunC,
2019-12-02,VolC,0.34736842105263155
2019-12-02,MAXRET,0.23609022556390977
2019-12-02,CRASH8,-0.22406015037593985
2019-12-02,BETA26,-0.3106295149638803
2019-12-02,TVLC,
2019-12-02,SKEW52,-0.10714285714285714
2019-12-02,NEWC,-0.0025990908670624284
2019-12-02,RMOM1w,-0.12330827067669171
2019-12-02,RMOM2w,-0.19548872180451127
2019-12-02,SMBC,-0.06103896103896104
2019-12-02,NetRel,
2019-12-02,MomC,-0.14285714285714285
2019-12-02,NetMom,
2019-12-02,FunC,
2019-12-09,VolC,0.016541353383458645
2019-12-09,MAXRET,-0.156390977443609
2019-12-09,CRASH8,0.14736842105263157
2019-12-09,BETA26,0.3746130030959752
2019-12-09,TVLC,
2019-12-09,SKEW52,0.014285714285714282
2019-12-09,NEWC,-0.07927227144540408
2019-12-09,RMOM1w,-0.15037593984962402
