week,p_RiskOff,p_Neutral,p_RiskOn,label,csd,mkt_ret,network_entropy,btc_dom,dbtc_dom,mktmom4,csd_z,dbtc_dom_z,network_entropy_z,mktmom4_z
2019-07-29,0.0,1.0,0.0,Neutral,0.08530754151780584,0.018800785967338408,,0.6802459774301175,0.05435923458056102,-0.2744571179895584,-1.075346187859002,0.3063788862054189,0.0,-1.7028924224323578
2019-08-05,0.0,1.0,0.0,Neutral,0.06298833998045474,-0.01012755377223547,,0.6953814777520172,0.03533432608989451,-0.060240011962305134,-0.37071766133157663,0.48837518929388624,0.0,-1.412460619792961
2019-08-12,0.0,1.0,0.0,Neutral,0.050499995490776946,-0.09993271663920719,,0.6927187449400608,0.03093771366236775,-0.19051161576164372,-0.7703693025273705,-0.04686622254466384,0.0,-0.533094478255828
2019-08-19,0.0,1.0,0.0,Neutral,0.09912776132245853,-0.039798581794364185,,0.7009322806511114,0.043450065019523976,-0.13105806623846838,-0.9653930257896239,-0.17021144322797832,0.0,-1.0089606389046675
2019-08-26,0.0,1.0,0.0,Neutral,0.06266257712439406,-0.12358234675181172,,0.714466848084383,0.03422087065426549,-0.27344119895761854,-0.009509393051000101,0.20246511804191808,0.0,-0.7360171756866831
2019-09-02,0.0,1.0,0.0,Neutral,0.06960721536222626,0.05510367213505159,,0.7209925050703615,0.025611027318344304,-0.20820997305033148,-0.7190078266022422,-0.08341005776912702,0.0,-1.241726323897326
2019-09-09,0.0,1.0,0.0,Neutral,0.10869954577082971,-0.025095982251678924,,0.7208285373205137,0.028109792380452858,-0.13337323866280318,-0.5610362831640324,-0.3501125836257353,0.0,-0.9337094508505117
2019-09-16,0.0,1.0,0.0,Neutral,0.10062514546765723,0.009566185842079165,,0.7012525500329023,0.00032026938179097186,-0.08400847102635983,0.2434660387091454,-0.26076856206516424,0.0,-0.6096325819349443
2019-09-23,0.0,1.0,0.0,Neutral,0.06360125858400151,-0.2112086013839203,,0.6916187016531745,-0.02284814643120847,-0.17163472565846843,0.07125307219227749,-1.133190026541783,0.0,-0.39566790628871734
2019-09-30,0.0,1.0,0.0,Neutral,0.08177166559223205,0.04219966518699932,,0.6790205983282479,-0.041971906742113596,-0.18453873260652065,-0.7076092983340005,-1.7239563090089385,0.0,-0.741499687874234
2019-10-07,0.0,1.0,0.0,Neutral,0.07215186806141663,0.07779768268615891,,0.673636597015908,-0.04719194030460572,-0.08164506766868282,-0.3049665564292317,-2.04264818568365,0.0,-0.7718517195781153
2019-10-14,0.0,1.0,0.0,Neutral,0.2340926138480339,0.039006436565313996,,0.6698321601211936,-0.0314203899117087,-0.052204816945448,-0.5071140330319931,-1.954868896976267,0.0,-0.3237087267600107
