week,symbol,cluster_id,signal,side,w
2025-02-10,RENDER,,0.18818523374659415,1,0.004543157619038015
2025-02-10,SHIB,,0.25195156159602317,1,0.028696480295103254
2025-02-10,SOL,,-0.011301681302014064,0,0.0
2025-02-10,STX,,0.020148575715088032,0,0.0
2025-02-10,SUI,,-0.07519965704671845,-1,-1.6622113224169666e-08
2025-02-10,TAO,,0.13068523372555182,1,1.849075727079218e-11
2025-02-10,TON,,-0.032731178388283266,0,0.0
2025-02-10,TRUMP,,-0.49081457953713714,-1,-0.011161423543316928
2025-02-10,TRX,,0.10188215700741535,0,0.0
2025-02-10,UNI,,0.12417004472899765,0,0.0
2025-02-10,VET,,-0.04114847101284092,0,0.0
2025-02-10,WLD,,0.13734356774822437,1,9.563100748354965e-05
2025-02-10,XLM,,0.09047915984633023,0,0.0
2025-02-10,XRP,,-0.14543751931933202,-1,-0.003213225147827994
2025-02-10,ZEC,,0.08485697800315911,0,0.0
2025-02-17,AAVE,,-0.23051971117468503,-1,-0.003128298503080173
2025-02-17,ADA,,-0.0756294732072173,0,0.0
2025-02-17,ALGO,,0.16968640821255512,1,5.3119039136970524e-05
2025-02-17,APT,,0.13514263976821603,0,0.0
2025-02-17,ARB,,0.2652324560209568,1,0.009751760173222778
2025-02-17,ATOM,,0.09802894712984758,0,0.0
2025-02-17,AVAX,,0.16541409802515886,1,1.3089647965808706e-11
2025-02-17,BCH,,0.026430015395294743,0,0.0
2025-02-17,BNB,,-0.5338200375976843,-1,-0.04072428960426374
2025-02-17,BONK,,0.48138026563437736,1,0.08855643369311873
2025-02-17,BTC,,-0.5882076332749812,-1,-0.065
2025-02-17,CAKE,,-0.9293998822291042,-1,-0.018156445761741812
2025-02-17,CHZ,,-0.1856985752755972,-1,-6.914364238634107e-05
2025-02-17,DASH,,0.016166656318203007,0,0.0
2025-02-17,DEXE,,-0.19435066526260827,-1,-0.0007515384661578282
2025-02-17,DOGE,,0.03392146866756206,0,0.0
2025-02-17,DOT,,0.16965546817469274,1,5.3423470597885604e-05
2025-02-17,ENA,,0.5377519769220185,1,0.13750939238507864
2025-02-17,ETC,,-0.19678747984035388,-1,-0.0009162182457622457
2025-02-17,ETH,,-0.29149190710505707,-1,-0.009607832365271908
2025-02-17,FET,,0.19828423173567775,1,0.0013438039216174418
2025-02-17,FIL,,0.12397177329554941,0,0.0
2025-02-17,HBAR,,0.27701672433556124,1,0.020596874158655742
2025-02-17,ICP,,0.006478990107123028,0,0.0
2025-02-17,JST,,-0.5243117887220771,-1,-0.04512247062770954
2025-02-17,JUP,,0.0179824108591328,0,0.0
2025-02-17,LINK,,-0.18412091619097437,-1,-2.6799295798200256e-08
2025-02-17,LTC,,-0.42807937046254063,-1,-0.0184623040370752
2025-02-17,LUNC,,-0.13309296491639033,0,0.0
2025-02-17,NEAR,,-0.019845527336772896,0,0.0
2025-02-17,NEXO,,-0.1951383643447563,-1,-0.0012690576581495152
2025-02-17,PENGU,,0.6929325634102456,1,0.1464369032458972
2025-02-17,PEPE,,0.6738970283989892,1,0.2
2025-02-17,POL,,0.2432972443416709,1,0.007172222398760809
2025-02-17,QNT,,-0.004572227535964781,0,0.0
2025-02-17,RENDER,,0.26113076712056493,1,0.008841337945758084
2025-02-17,SHIB,,0.2606443217471272,1,0.013445657842442673
2025-02-17,SOL,,-0.3783333518092938,-1,-0.024890489563223126
2025-02-17,STX,,-0.022073812639920993,0,0.0
2025-02-17,SUI,,0.019001840636310358,0,0.0
2025-02-17,TAO,,0.06427405324440001,0,0.0
2025-02-17,TON,,-0.031828028440112004,0,0.0
2025-02-17,TRUMP,,-0.18460795371761035,-1,-1.0356494352855803e-05
2025-02-17,TRX,,-0.019082182574132835,0,0.0
2025-02-17,UNI,,-0.019096110623750155,0,0.0
2025-02-17,VET,,0.02353875310572601,0,0.0
2025-02-17,WLD,,0.3406116880890866,1,0.026442075051592132
2025-02-17,XLM,,0.25460752813128223,1,0.011374117528678139
2025-02-17,XRP,,-0.24320308885173242,-1,-0.003288717211991134
2025-02-17,ZEC,,0.05681073430599076,0,0.0
2025-02-24,AAVE,,-0.37012720202589133,-1,-0.01563927221740564
2025-02-24,ADA,,-0.7705281311375111,-1,-0.010273823423213918
2025-02-24,ALGO,,0.15567639256779692,0,0.0
2025-02-24,APT,,0.32953527516568065,1,0.022794734198491307
2025-02-24,ARB,,0.29550246385623385,1,0.013101824986277188
2025-02-24,ATOM,,0.20458082084600113,0,0.0
2025-02-24,AVAX,,0.3386506392811869,1,0.03415768880864026
2025-02-24,BCH,,0.02344087799146624,0,0.0
2025-02-24,BNB,,-0.40634896065887555,-1,-0.018598980572599337
2025-02-24,BONK,,0.44748278338577524,1,0.09131041261243952
2025-02-24,BTC,,-0.5136663575687239,-1,-0.032437139812307635
2025-02-24,CAKE,,-1.3272293980172258,-1,-0.01503560059675484
2025-02-24,CHZ,,-0.005768773177121648,0,0.0
2025-02-24,DASH,,0.21253573117476532,1,2.2732765410755492e-11
2025-02-24,DEXE,,-0.20670820853185118,-1,-0.005081681431878815
2025-02-24,DOGE,,0.07286235128178352,0,0.0
2025-02-24,DOT,,0.22903195999804682,1,0.0008040765258491025
2025-02-24,ENA,,0.3542829716673853,1,0.02034711104687586
2025-02-24,ETC,,-0.07793585452712568,0,0.0
2025-02-24,ETH,,-0.3124092874903093,-1,-0.009900659260462042
2025-02-24,FET,,0.38878009302454775,1,0.0630469561978131
2025-02-24,FIL,,0.3048164513450032,1,0.017763349421030583
2025-02-24,HBAR,,-0.09815396578926934,-1,-6.831936422924512e-09
2025-02-24,ICP,,0.10995919324323052,0,0.0
2025-02-24,JST,,-0.7832373860434898,-1,-0.05622345435960012
2025-02-24,JUP,,0.10797671331504334,0,0.0
2025-02-24,LINK,,-0.04570342932433413,0,0.0
2025-02-24,LTC,,-0.4564254297357336,-1,-0.015417220409526703
2025-02-24,LUNC,,-0.101630027627914,-1,-0.00011087748038773875
2025-02-24,NEAR,,0.008459421969770228,0,0.0
2025-02-24,NEXO,,-0.3111444554784988,-1,-0.015552402985742201
2025-02-24,PENGU,,0.6534646735900544,1,0.13102420760681485
2025-02-24,PEPE,,0.22299429860816716,1,0.00035886321001169034
2025-02-24,POL,,0.27514235913583934,1,0.005878423584020502
2025-02-24,QNT,,0.10180761535483038,0,0.0
2025-02-24,RENDER,,0.3505519386079332,1,0.024684036949459753
2025-02-24,SHIB,,0.12278128076713542,0,0.0
2025-02-24,SOL,,-0.01929004810286757,0,0.0
2025-02-24,STX,,0.03100978158559658,0,0.0
2025-02-24,SUI,,-0.1464352870562017,-1,-0.0018074097010231862
2025-02-24,TAO,,-0.3273918245518296,-1,-0.005220206778176231
2025-02-24,TON,,-0.07078384993385378,0,0.0
2025-02-24,TRUMP,,0.18292232698784688,0,0.0
2025-02-24,TRX,,0.12437216868714379,0,0.0
2025-02-24,UNI,,0.006703541183676,0,0.0
2025-02-24,VET,,0.015156355085830228,0,0.0
2025-02-24,WLD,,0.388689800034229,1,0.05128024844540303
2025-02-24,XLM,,0.13714078224566797,0,0.0
2025-02-24,XRP,,-0.15231347195465308,-1,-0.0014562047156383194
2025-02-24,ZEC,,0.30692028674561966,1,0.014458383786109617
2025-03-03,AAVE,,-0.3501679507531399,-1,-0.012300889365580466
2025-03-03,ADA,,-0.1751647557025556,-1,-0.0008981143002833015
2025-03-03,ALGO,,0.20057646617890404,1,0.0020567415103796634
2025-03-03,APT,,0.028202311945270505,0,0.0
2025-03-03,ARB,,0.16779513791746056,1,0.00023796072423658366
2025-03-03,ATOM,,0.024650004217502682,0,0.0
2025-03-03,AVAX,,0.11980406626875417,0,0.0
2025-03-03,BCH,,0.3258530648326105,1,0.08432255631059608
2025-03-03,BNB,,-0.6339461882205832,-1,-0.036636668982358414
2025-03-03,BONK,,0.5296232277031345,1,0.10544118077652427
2025-03-03,BTC,,-0.671410954449091,-1,-0.04940556438160443
2025-03-03,CAKE,,-0.5831522936114648,-1,-0.006947477644064278
2025-03-03,CHZ,,-0.08986051817312254,0,0.0
2025-03-03,DASH,,-0.09568066467065796,0,0.0
2025-03-03,DEXE,,-0.27181702672277236,-1,-0.011711581934921278
2025-03-03,DOGE,,0.1980872030938929,1,0.002146346463868138
2025-03-03,DOT,,0.15662664746381585,1,1.2589078269664676e-11
2025-03-03,ENA,,0.40970641928691515,1,0.10807037381598746
2025-03-03,ETC,,-0.32445703313749774,-1,-0.014644550500005574
2025-03-03,ETH,,-0.3817751948144923,-1,-0.013069472674480932
2025-03-03,FET,,0.11780135650645365,0,0.0
2025-03-03,FIL,,0.020306360843231567,0,0.0
2025-03-03,HBAR,,0.04672307032269067,0,0.0
2025-03-03,ICP,,-0.0077872625055412075,0,0.0
2025-03-03,JST,,-0.578247200107601,-1,-0.05553446357943646
2025-03-03,JUP,,0.4848798242617138,1,0.06142888233917823
2025-03-03,LINK,,-0.1759047895579769,-1,-0.0031041535179757
2025-03-03,LTC,,-0.4355127699188926,-1,-0.010307121733516403
2025-03-03,LUNC,,-0.14447977374597964,-1,-0.0012095941534705811
2025-03-03,NEAR,,-0.002183117278940508,0,0.0
